Name;Party;Kanton;Elected;Retired;Sex;FirstDayInOffice
Schobinger, Josef Anton;Christlichdemokratische Volkspartei der Schweiz;Luzern (LU);17.06.1908;27.11.1911;M;17.06.1908
Hoffmann, Arthur;FDP.Die Liberalen;St. Gallen (SG);04.04.1911;19.06.1917;M;04.04.1911
Motta, Giuseppe;Christlichdemokratische Volkspartei der Schweiz;Tessin (TI);14.12.1911;23.01.1940;M;14.12.1911
Perrier, Louis;FDP.Die Liberalen;Neuenburg (NE);12.03.1912;16.05.1913;M;12.03.1912
Decoppet, Camille;FDP.Die Liberalen;Waadt (VD);17.07.1912;31.12.1919;M;17.07.1912
Schulthess, Edmund;FDP.Die Liberalen;Aargau (AG);17.07.1912;15.04.1935;M;17.07.1912
Calonder, Felix-Louis;FDP.Die Liberalen;Graubünden (GR);12.06.1913;31.12.1919;M;12.06.1913
Ador, Gustave;Liberale Partei der Schweiz;Genf (GE);26.06.1917;31.12.1919;M;26.06.1917
Haab, Robert;FDP.Die Liberalen;Zürich (ZH);13.12.1917;31.12.1929;M;01.12.1918
Chuard, Ernest;FDP.Die Liberalen;Waadt (VD);11.12.1919;31.12.1928;M;01.01.1920
Musy, Jean-Marie;Christlichdemokratische Volkspartei der Schweiz;Freiburg (FR);11.12.1919;30.04.1934;M;01.01.1920
Scheurer, Karl;FDP.Die Liberalen;Bern (BE);11.12.1919;14.11.1929;M;11.12.1919
Häberlin, Heinrich;FDP.Die Liberalen;Thurgau (TG);12.02.1920;30.04.1934;M;12.02.1920
Pilet-Golaz, Marcel;FDP.Die Liberalen;Waadt (VD);13.12.1928;31.12.1944;M;01.01.1929
Meyer, Albert;FDP.Die Liberalen;Zürich (ZH);12.12.1929;31.12.1938;M;12.12.1929
Minger, Rudolf;Schweizerische Volkspartei;Bern (BE);12.12.1929;31.12.1940;M;12.12.1929
Baumann, Johannes;FDP.Die Liberalen;Appenzell A.-Rh. (AR);22.03.1934;31.12.1940;M;30.04.1934
Etter, Philipp;Christlichdemokratische Volkspartei der Schweiz;Zug (ZG);28.03.1934;31.12.1959;M;30.04.1934
Obrecht, Hermann;FDP.Die Liberalen;Solothurn (SO);04.04.1935;31.07.1940;M;15.04.1935
Wetter, Ernst;FDP.Die Liberalen;Zürich (ZH);15.12.1938;31.12.1943;M;01.01.1939
Celio, Enrico;Christlichdemokratische Volkspartei der Schweiz;Tessin (TI);22.02.1940;15.10.1950;M;22.02.1940
Stampfli, Walther;FDP.Die Liberalen;Solothurn (SO);18.07.1940;31.12.1947;M;01.08.1940
Kobelt, Karl;FDP.Die Liberalen;St. Gallen (SG);10.12.1940;31.12.1954;M;01.01.1941
von Steiger, Eduard;Schweizerische Volkspartei;Bern (BE);10.12.1940;31.12.1951;M;10.12.1940
Nobs, Ernst;Sozialdemokratische Partei der Schweiz;Zürich (ZH);15.12.1943;31.12.1951;M;01.01.1944
